artist,genres
Bee Gees,"disco, pop, rock, soft rock, soul"
Ben Folds Five,"alternative rock, power pop"
Bill Haley & His Comets,"rock, roll,rockabilly,western swing"
Billy Squier,"arena rock, hard rock, pop rock, power pop"
Billy Talent,"alternative rock, pop-punk, post-hardcore, punk rock"
Billy_Joel,"pop rock, rock, soft rock"
Black Sabbath,heavy metal
Black Stone Cherry,"hard rock,southern rock"
Black Veil Brides,"alternative metal, glam metal, gothic metal, hard rock, metalcore"
Blink-182,"alternative rock, pop-punk, punk rock, skate punk"
Blondie,"disco, new wave, pop, pop rock, punk rock"
Bloodhound Gang,"alternative rock, new wave, pop-punk, rap rock"
Blue October,"alternative rock,art rock,post-grunge,new wave,synth-pop,shoegaze"
Blue Öyster Cult,"acid rock, hard rock, heavy metal, occult rock, progressive rock, psychedelic rock"
Blur,"alternative rock, art pop, britpop, indie rock"
Bo Diddley,"rock, roll,blues,psychedelic funk"
Bob Seger,"rock,heartland rock,roots rock"
Bob_Dylan,"blues, country, folk, gospel, rock, traditional pop"
Bon Jovi,"arena rock, glam metal, hard rock, pop rock"
Boston,"arena rock, hard rock"
Bowling for Soup,"alternative rock, pop rock, pop-punk, power pop"
Bread,soft rock
Breaking Benjamin,"alternative metal, alternative rock, hard rock, post-grunge"
Bring Me the Horizon,"alternative metal, alternative rock, deathcore, electronic rock, metalcore, pop rock, post-hardcore"
Bryan Ferry,"pop rock,glam rock,art rock,sophisti-pop"
Bryan_Adams,"rock,pop rock,soft rock,arena rock,heartland rock"
Buckcherry,"alternative metal, hard rock, sleaze rock"
Buddy_Holly,"rock, roll,rockabilly,pop"
Bullet_for_My_Valentine,"hard rock, heavy metal, melodic metalcore, thrash metal"
Bush,"alternative rock, grunge, hard rock, post-grunge"
Cage the Elephant,"alternative rock, garage rock, indie rock, post-punk, psychedelic rock, punk blues"
Cake,"alternative rock,country,indie rock,funk rock"
Canned Heat,"blues rock,boogie rock"
Catfish and the Bottlemen,"alternative rock, indie rock, post-punk revival"
Charlie Daniels,"southern rock,country rock,progressive country,bluegrass"
Cheap Trick,"hard rock, power pop, rock"
Chevelle,"alternative metal, alternative rock, hard rock, nu metal, post-grunge"
Chicago,"jazz rock, pop rock, rock, soft rock"
Chris Rea,"blues rock, electric blues, pop rock, soft rock"
Chris_Cornell,"alternative metal,heavy metal,grunge,alternative rock,hard rock"
Chris_de_Burgh,"art rock, pop"
Christopher Cross,"pop, rock, soft rock, yacht rock"
Chubby Checker,"rock, roll"
Chuck_Berry,"r&b, rock and roll"
Coheed and Cambria,"alternative rock, emo, post-hardcore, progressive metal, progressive rock"
Cold Chisel,"hard rock, pub rock, r & b, rock and roll"
Coldplay,"alternative rock, pop, pop rock, post-britpop"
Collective Soul,"alternative rock, hard rock, post-grunge"
Counting Crows,"alternative rock, pop rock, roots rock"
Crash Test Dummies,"alternative rock, folk rock"
Cream,"acid rock, blues rock, hard rock, psychedelic rock"
Creed,"alternative metal, alternative rock, hard rock, post-grunge"
Creedence Clearwater Revival,"blues rock, country rock, roots rock, southern rock, swamp rock"
"Crosby, Stills, Nash & Young","folk rock,soft rock,country rock,folk pop"
Crowded House,"pop rock,jangle pop,alternative rock"
Dallas Green,"acoustic, alternative rock, indie folk, melodic hardcore, post-hardcore, screamo"
Damn Yankees,"arena rock, hard rock"
Dan Fogelberg,"rock,country,folk,folk rock,soft rock,pop rock,pop"
Daryl Hall & John Oates,"blue-eyed soul, pop rock, r & b, soft & nbsp;rock"
Dashboard Confessional,"acoustic rock, alternative rock, emo, indie rock"
Daughtry,"hard rock, pop rock, post-grunge"
Dave Matthews Band,"jam rock, rock"
David_Bowie,"art rock, electronic, glam rock, pop"
Days of the New,"alternative metal, alternative rock, post-grunge"
Death Cab for Cutie,"alternative rock, emo, indie pop, indie rock"
Deep Purple,"hard rock,heavy metal,progressive rock"
Def Leppard,"arena rock, glam metal, hard rock, heavy metal, power pop"
Deftones,"alternative metal, art rock, nu metal, shoegaze"
Depeche Mode,"synth-pop,alternative dance,alternative rock,dance-rock,dark wave,edm,electronic rock,industrial,new wave,pop rock,post-punk"
Dio,heavy metal
Dire Straits,"blues rock, pub rock, roots rock"
Disturbed,"alternative metal, hard rock, heavy metal, nu metal"
Don_Henley,"rock,country rock,pop rock,hard rock,folk rock"
Donovan,"folk,pop,psychedelia,rock"
Dr. Hook,"country rock,roots rock,boogie rock,pop rock,soft rock,blue-eyed soul,disco"
Dropkick Murphys,"celtic punk, folk punk, hardcore punk, oi!, street punk"
Drowning Pool,"alternative metal, hard rock, nu metal, post-grunge"
Duane Eddy,"instrumental rock,rockabilly,rock, roll,country"
Duran Duran,"dance-rock, new wave, pop rock, synthpop"
Eagles,"rock,country rock,soft rock,folk rock"
Echo & the Bunnymen,"post-punk,new wave,neo-psychedelia"
Eddie Cochran,"country, r&b, rock and roll, rockabilly"
Eddie_Money,"rock,pop rock,hard rock"
Edgar Winter,"southern rock,pop,jazz fusion,blues rock,blue-eyed soul,boogie rock"
Elton_John,"blues, glam rock, pop rock, soft rock"
Elvis Costello,"new wave, pop, power pop, pub rock, punk rock, rock"
Elvis_Presley,"blues, country, gospel, pop, r & b, rock and roll, rockabilly, soul"
"Emerson, Lake & Palmer","art rock, progressive rock"
England Dan & John Ford Coley,"country rock, pop rock, soft rock"
Eric_Clapton,"blues, rock"
Europe,"arena rock, blues rock, glam metal, hard rock"
Evanescence,"alternative metal, gothic metal, gothic rock, hard rock, industrial rock, nu metal, symphonic metal"
Everclear,"alternative rock, grunge, pop rock, post-grunge, power pop, punk rock"
Everlast,"blues, folk rock, hip hop"
Extreme,"funk metal, glam metal, hard rock"
Faces,"rock,blues"
Faith No More,"alternative metal, alternative rock, experimental rock, funk metal"
Fall Out Boy,"alternative rock, emo, pop rock, pop-punk"
Fats_Domino,"new orleans r & b,rock, roll,boogie-woogie,blues"
Filter,"alternative metal, alternative rock, hard rock, industrial metal, industrial rock, post-grunge"
Finger Eleven,"alternative metal, alternative rock, hard rock, nu metal"
FireHouse,"glam metal, hard rock"
Five Finger Death Punch,"alternative metal, groove metal, hard rock"
Five for Fighting,"soft rock,heartland rock,alternative rock,pop rock,americana,adult contemporary"
Fleetwood Mac,"art pop, blues rock, pop rock, soft rock"
Flogging Molly,"celtic punk, folk punk"
Florence and the Machine,"indie rock,indie pop,chamber pop,baroque pop,art pop,art rock,neo soul,folk"
Foals,"alternative rock, art rock, dance-punk, indie rock, math rock"
Foo Fighters,"alternative rock, hard rock, post-grunge"
Foreigner,"hard rock,soft rock,arena rock"
Foster the People,"alternative rock, dance pop, indie pop, indie rock, neo-psychedelia, synthpop"
Franz Ferdinand,"art punk, art rock, dance-punk, indie rock, post-punk revival"
Fuel,"alternative metal, alternative rock, hard rock, post-grunge"
Fun_(band),"baroque pop, indie pop, indie rock, pop rock"
Funkadelic,"funk rock,psychedelic funk,acid rock,psychedelic rock"
Garbage,"alternative rock, dance-rock, electronic rock, industrial rock, trip hop"
Gary_Glitter,"glam rock,rock, roll,pop rock,hard rock,disco"
Genesis,"art rock, pop rock, progressive rock, soft rock"
George Thorogood,"blues rock, boogie rock, hard rock, rock and roll"
George_Harrison,"rock,pop,indian classical"
Ghost,"arena rock, hard rock, heavy metal, pop rock, progressive rock"
Gin Blossoms,"alternative rock, country rock, jangle pop, post-grunge, power pop"
Glenn_Frey,"rock,pop rock,soft rock,country rock (early),hard rock"
Godsmack,"alternative metal, hard rock, nu metal, post-grunge"
Golden Earring,"hard rock,blues rock,jazz rock,psychedelic rock,garage rock"
Goo Goo Dolls,"alternative rock,pop rock,post-grunge,punk rock"
Good Charlotte,"alternative rock, emo, pop rock, pop-punk"
Grand Funk Railroad,hard rock arena rock
Grateful Dead,rock
Great_White,"glam metal, hard rock"
Green Day,"alternative rock, pop-punk, power pop, punk rock, skate punk"
Greta Van Fleet,"blues rock, hard rock, progressive rock"
Guns N' Roses,"hard rock, heavy metal"
Halestorm,"alternative metal, hard rock, heavy metal, post-grunge"
Harry_Nilsson,"pop, rock"
Heart,"folk rock, hard rock, pop rock, rock"
Herman's Hermits,"beat,pop rock,bubblegum"
Highly Suspect,"alternative rock, blues rock, garage rock, grunge, hard rock"
Hinder,"hard rock, post-grunge"
Hole,"alternative rock,grunge"
Hoobastank,"alternative rock, funk metal, nu metal, post-grunge, ska punk"
Hootie & the Blowfish,"alternative rock, heartland rock, jangle pop, pop rock, roots rock, soft rock"
Huey Lewis and the News,"rock,new wave,rhythm & blues"
INXS,"alternative rock, dance-rock, funk rock, new wave, pub rock"
Ian Dury,"new wave,punk rock,post-punk,funk,disco,pub rock"
Icehouse,"rock,new wave,synth-pop"
Iggy Pop,"rock,punk rock,proto-punk,hard rock,garage rock"
Imagine Dragons,"alternative rock, arena rock, electropop, indie pop, pop, pop rock"
Incubus,"alternative metal, alternative rock, funk metal, nu metal"
Interpol,"indie rock,post-punk revival"
Iron Maiden,heavy metal
Jack White,"blues rock,garage rock revival,alternative rock,punk blues,folk,country,experimental rock"
James_Blunt,"pop rock,folk rock,folk pop,soft rock"
James_Taylor,"soft rock,folk"
Jane's Addiction,"alternative metal, alternative rock, funk metal, psychedelic rock"
Janis_Joplin,"psychedelic rock,blues rock,soul,blues"
Jefferson Airplane,"acid rock, folk rock, psychedelic rock"
Jefferson Starship,"hard rock, progressive rock, psychedelic rock, rock, soft rock"
Jerry_Lee_Lewis,"blues, boogie-woogie, country, gospel, honky-tonk, rock and roll, rockabilly"
Jet,"garage rock,hard rock,alternative rock,indie rock"
Jethro Tull,"blues rock, folk rock, hard rock, progressive rock"
Jim Croce,"folk,soft rock"
Jimi_Hendrix,"rock,psychedelia,blues,r & b"
Jimmy Eat World,"alternative rock, emo, pop rock, pop-punk, power pop, punk rock"
Joe Cocker,"rock,blues,blue-eyed soul,pop"
Joe Satriani,"blues rock, hard rock, instrumental rock"
Joe_Walsh,"hard rock,blues rock,pop rock,progressive rock,country rock"
John Mayall,"blues rock, british blues, jazz & nbsp;rock"
John Mayall & the Bluesbreakers,"british blues,blues rock"
John Mayer,"blues, pop, rock"
John Mellencamp,"folk rock, heartland rock, roots rock"
John_Fogerty,"country rock, rock and roll, roots rock"
John_Lennon,"rock,pop,experimental"
Journey,"arena rock, hard rock, jazz rock, progressive rock, soft rock"
Joy Division,"gothic rock, new wave, post-punk, punk rock"
Judas Priest,heavy metal
Kaiser Chiefs,"alternative rock, art punk, indie rock, pop punk, pop rock, post-punk revival, power pop"
Kaleo,"alternative rock, blues rock, indie folk"
Kansas,"arena rock, art rock, hard rock, progressive rock"
Keane,"alternative rock, post-britpop, rock, soft rock"
Kid Rock,"country, heavy metal, hip hop, rock"
Killswitch Engage,melodic metalcore
Kings of Leon,"alternative rock,southern rock,indie rock,garage rock revival"
Kiss,"glam rock, hard rock, heavy metal, shock rock"
Korn,"alternative metal, nu metal"
Lacuna Coil,"alternative metal, gothic metal"
Lamb of God,"death metal, groove metal, metalcore, thrash metal"
Led Zeppelin,"blues rock, folk rock, hard rock, heavy metal"
Lenny_Kravitz,"funk, rock, soul"
Lifehouse,"alternative rock,post-grunge,pop rock"
Limp Bizkit,"nu metal, rap metal, rap rock"
Linda Ronstadt,"country,rock,pop"
Linkin Park,"alternative metal, alternative rock, electronic rock, nu metal, pop rock, rap rock"
Little River Band,"rock,aor,pop rock,soft rock"
Little_Richard,"blues,gospel,soul, rock, roll,rhythm"
Live,"alternative rock, hard rock, post-grunge"
Living Colour,"alternative metal, funk metal, hard rock"
Lou_Reed,"rock,art rock,proto-punk,glam rock"
Loverboy,"arena rock, hard rock, new wave, pop rock"
Lynyrd Skynyrd,"southern rock,blues rock,country rock,hard rock"
Manfred Mann,"beat, blues rock"
Manfred Mann Chapter Three,jazz rock
Manfred Mann's Earth Band,"progressive rock,hard rock,jazz rock"
Marilyn Manson,"alternative metal, gothic rock, industrial metal, industrial rock, shock rock"
Matchbox Twenty,"alternative rock, pop rock, post-grunge"
Meat_Loaf,"hard rock, rock"
Megadeth,thrash metal
Melissa_Etheridge,"heartland rock,roots rock,folk rock,blues rock,country rock"
Men at Work,"new wave,pop rock,reggae rock"
Metallica,"hard rock, heavy metal, speed metal, thrash metal"
Michael Martin Murphey,"bluegrass, cowboy, progressive country, western"
Midnight Oil,"alternative rock,hard rock,post-punk,new wave"
Mike and the Mechanics,"pop rock, rock"
Mitch Ryder,"blues,blue-eyed soul,frat rock,hard rock, rock, roll,rhythm"
Modest Mouse,"alternative rock, emo, indie rock, post punk revival, punk rock"
Montgomery Gentry,"country,southern rock,country rock"
Morrissey,"alternative rock,indie pop,indie rock,jangle pop"
Motörhead,"hard rock, heavy metal, speed metal"
Mudvayne,"alternative metal, hard rock, nu metal, progressive metal"
Mumford & Sons,"folk rock,alternative rock,indie folk,americana,country,bluegrass"
Muse,"alternative rock, art rock, electronic rock, hard rock, progressive rock, space rock"
My_Chemical_Romance,"alternative rock, emo, hard rock, pop-punk, post-hardcore, punk rock"
Mötley Crüe,"glam metal, hard rock, heavy metal"
Neil_Young,"rock,folk rock,country rock"
New York Dolls,"hard rock,proto-punk,glam rock,glam punk"
Nickelback,"alternative metal, alternative rock, hard rock, pop rock, post-grunge"
Nine Inch Nails,"alternative rock, ambient, electronic rock, industrial, industrial metal, industrial rock"
Nirvana,"alternative rock, grunge, punk rock"
No Doubt,"alternative rock, new wave, pop rock, pop-punk, reggae, ska punk"
Oasis,"rock,britpop"
Our Lady Peace,"alternative rock, post-grunge"
Ozzy_Osbourne,"hard rock, heavy metal"
P.O.D.,"alternative metal, nu metal, rap rock"
Panic! at the Disco,"alternative rock, baroque pop, electropop, emo, pop rock, pop-punk"
Pantera,"glam metal, groove metal, thrash metal"
Papa Roach,"alternative metal, alternative rock, hard rock, nu metal, rap metal"
Paramore,"alternative rock, emo, new wave, pop rock, pop-punk, power pop"
Parliament,"funk,r & b,psychedelic soul"
Paul McCartney and Wings,soft rock
Pearl Jam,"alternative rock,grunge,hard rock"
Peter Frampton,rock
Peter_Gabriel,"progressive rock,art rock,worldbeat,progressive soul"
Phil_Collins,"art rock, pop, progressive rock, soft rock"
Pink Floyd,"art rock, experimental rock, progressive rock, psychedelic rock, space rock"
Pixies,"alternative rock,indie rock,noise pop,punk rock,surf rock"
Poison,"glam metal, hard rock, heavy metal"
Pop_Evil,"alternative metal, hard rock, post-grunge"
Pretenders,"rock,pop rock,new wave,alternative rock"
Primus,"alternative metal, experimental rock, funk metal, progressive rock"
Puddle of Mudd,"alternative rock, hard rock, post-grunge"
Queen,"pop, rock"
Queens of the Stone Age,"alternative rock,stoner rock,desert rock,hard rock,alternative metal"
Queensrÿche,"heavy metal, progressive metal"
Quiet Riot,"glam metal, hard rock, heavy metal"
R.E.M.,"alternative rock, college rock, folk rock, jangle pop, post-punk"
REO Speedwagon,"arena rock,pop rock,hard rock,aor,blues rock"
Radiohead,"alternative rock, art rock, electronic, experimental rock"
Rage Against the Machine,"alternative metal, funk metal, rap metal, rap rock"
Rainbow,"hard rock,heavy metal"
Rammstein,*
Ramones,"pop-punk, punk rock"
Ratt,"glam metal, hard rock, heavy metal"
Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, rap rock"
Ringo_Starr,"rock,pop"
Rise Against,"melodic hardcore, punk rock"
Ritchie_Valens,"chicano rock, rock and roll"
Rob_Zombie,"alternative metal, groove metal, hard rock, industrial metal, nu metal, shock rock"
Robert_Plant,"rock,blues,folk,country,hard rock,heavy metal"
Rod_Stewart,"blue-eyed soul, blues rock, disco, folk rock, pop, rock, soft rock, traditional pop"
Roxy Music,"art rock,glam rock,pop rock,sophisti-pop"
Roy_Orbison,"rock,pop,country,rock, roll,rockabilly"
Royal Blood,"alternative rock, blues rock, garage rock, hard rock, stoner rock"
Run-DMC,"east coast hip-hop,rap rock"
Rush,"hard rock, heavy metal, progressive rock"
Saliva,"hard rock, nu metal, post-grunge, rap metal"
Sam_Fender,"heartland rock, indie rock, pop rock, rock"
Santana,"latin rock,blues rock,psychedelic rock,acid rock,chicano rock,jazz fusion,yacht rock"
Saving Abel,"hard rock, post-grunge, rock, southern rock"
Scorpions,"hard rock, heavy metal"
Seether,"alternative metal, alternative rock, hard rock, nu metal, post-grunge"
Sepultura,"alternative metal, death metal, groove metal, thrash metal"
Sex Pistols,punk rock
Shakin' Stevens,"rock and roll, rockabilly"
Sheryl Crow,"blues, country rock, folk, heartland rock, pop"
Shinedown,"alternative metal, alternative rock, hard rock, pop rock, post-grunge"
Silverchair,"alternative rock, art rock, grunge, post-grunge"
Simon & Garfunkel,folk rock
Simple Minds,"post-punk,art rock,synth-pop"
Simple Plan,"alternative rock, emo, pop rock, pop-punk, power pop"
Sixto Rodríguez,"folk rock,psychedelic folk,psychedelic rock"
Skid Row,"glam metal, hard rock, heavy metal"
Skillet,"alternative metal, alternative rock, christian rock, hard rock, nu metal, post-grunge"
Slade,glam rock hard rock
Slayer,thrash metal
Slipknot,"alternative metal, groove metal, nu metal"
Sly and the Family Stone,"psychedelic soul, rock"
Small Faces,"beat, pop, progressive pop, proto-punk, psychedelia, r & b, rock"
Smash Mouth,"alternative rock, pop rock, power pop, ska punk"
Smokie,"glam rock, pop rock, soft rock"
Snow Patrol,"alternative rock, indie rock, post-britpop, power pop"
Social Distortion,"cowpunk, hardcore punk, punk rock, rock and roll"
Sonic Youth,"alternative rock, experimental rock, indie rock, no wave, noise rock, post-punk"
Soundgarden,"alternative metal, alternative rock, grunge, heavy metal"
Staind,"alternative metal, hard rock, nu metal, post-grunge"
Starset,"alternative metal, alternative rock, electronic rock, hard rock, progressive rock"
Starship,"arena rock, pop rock, rock"
Status Quo,"rock,boogie rock,hard rock,psychedelia"
Steely Dan,"jazz fusion, jazz rock, pop, soft rock, yacht rock"
Steppenwolf,"psychedelic rock,blues rock,acid rock,hard rock,heavy metal,garage rock"
Steve Miller Band,"blues rock,pop rock"
Steve Vai,"hard rock, heavy metal, instrumental rock, progressive metal"
Steve Winwood,"blue-eyed soul, pop, r & b, rock"
Stevie Nicks,"rock,pop,folk"
Sting_(musician),"pop,new wave,post-punk,soft rock"
Stone Sour,"alternative metal, alternative rock, hard rock, post-grunge"
Stone Temple Pilots,"alternative metal, alternative rock, grunge, hard rock, psychedelic rock"
Styx,"arena rock, art rock, pop rock, progressive rock"
Sublime,"ska punk,reggae rock"
Sublime with Rome,"alternative rock, dub, hip hop, punk rock, reggae rock, ska punk"
Sum 41,"alternative metal, alternative rock, melodic hardcore, pop-punk, punk rock, skate punk"
Survivor,"rock,arena rock,hard rock"
System of a Down,"alternative metal, hard rock, nu metal, progressive metal"
T. Rex,"glam rock, pop, psychedelic folk"
Talking Heads,"art pop, avant-funk, new wave, post-punk, worldbeat"
Ted Nugent,hard rock
Ten Years After,blues rock
Tenacious_D,"comedy rock,acoustic rock,hard rock,heavy metal"
Tesla,"hard rock,blues rock,glam metal"
The Alan Parsons Project,"progressive rock,art rock,progressive pop,soft rock"
The All-American Rejects,"emo pop, pop rock, pop-punk, power pop"
The Allman Brothers Band,"southern rock,blues rock,jazz rock,jam band"
The B-52s,"art pop, dance-rock, new wave, post-punk"
The Band,"roots rock,americana,folk rock,country rock"
The Bangles,"pop rock,power pop,new wave,paisley underground"
The Beach Boys,"pop, psychedelia, rock, surf"
The Beatles,"rock,pop,beat,psychedelia"
The Big Bopper,"country, rock, rockabilly, roll"
The Black Crowes,"southern rock,blues rock,hard rock,roots rock,jam band"
The Black Keys,"blues rock, garage rock, indie rock, punk blues"
The Boxtones,rock
The Cab,"alternative rock, emo pop, pop, pop punk, pop rock, power pop"
The Cardigans,"alternative rock, indie pop, indie rock, pop rock"
The Cars,"new wave, pop rock, power pop"
The Clash,"experimental rock, new wave, post-punk, punk rock, reggae"
The Cranberries,"alternative rock, dream pop, indie rock, jangle pop, pop rock, post-punk"
The Cult,"hard rock,gothic rock,alternative rock,heavy metal,post-punk"
The Cure,"alternative rock, gothic rock, new wave, post-punk"
The Dave Clark Five,"rock, roll,beat,pop"
The Doobie Brothers,"rock,soft rock,pop,blue-eyed & nbsp, soul"
The Doors,psychedelic rock
The Everly Brothers,"country, country rock, rock and roll, rockabilly"
The Fixx,"new wave,pop rock,art rock,dance-rock"
The Flaming Lips,"alternative rock, experimental rock, indie rock, neo-psychedelia, psychedelic rock"
The Four Seasons,"doo-wop, pop, pop rock, soul"
The Fray,"alternative rock,pop rock,soft rock,christian rock"
The Go-Go's,"new wave, pop rock, post-punk, power pop, punk rock"
The Guess Who,"hard rock,psychedelic rock,blues rock,garage rock"
The Hives,"garage rock revival,garage punk"
The Hollies,"rock,pop"
The J. Geils Band,"rock,blues rock (early),new wave"
The Jam,"mod revival, new wave, power pop, punk rock"
The Jesus and Mary Chain,"alternative rock, indie rock, noise pop, post-punk, shoegaze"
The Killers,"alternative rock, heartland rock, indie rock, new wave, pop rock, post-punk revival"
The Kinks,"rock,pop"
The Lovin' Spoonful,"folk rock,pop,rock"
The Lumineers,"indie folk,folk rock,americana"
The Mamas & the Papas,"folk rock, sunshine pop"
The Marshall Tucker Band,"southern rock,country rock,progressive country,blues rock,jazz rock"
The Monkees,"bubblegum, pop rock, psychedelia, rock"
The Moody Blues,"progressive rock,art rock,psychedelic rock,pop rock"
The Mothers of Invention,"jazz rock,experimental rock,progressive rock,comedy rock,blues rock,avant-garde,doo-wop,art rock"
The Offspring,"alternative rock, pop-punk, punk rock, skate punk"
The Outfield,"new wave, pop rock"
The Police,"new wave, pop rock, post-punk, reggae rock"
The Presidents of the United States of America,"alternative rock, pop-punk, post-grunge"
The Pretty Reckless,"alternative rock, blues rock, hard rock, post-grunge"
The Script,"pop rock,soft rock,indie rock"
The Smashing Pumpkins,alternative rock
The Smiths,"indie pop,indie rock,jangle pop,alternative rock"
The Stone Roses,"madchester,indie rock,alternative rock,dance-rock,neo-psychedelia"
The Strokes,"indie rock,garage rock revival,post-punk revival,new wave,synth-pop"
The Sweet,"glam rock,hard rock,power pop,bubblegum"
The Tragically Hip,"alternative rock, folk rock, roots rock"
The Used,"alternative rock, emo, pop-punk, post-hardcore, punk rock, screamo"
The Velvet Underground,"art rock,proto-punk,experimental rock"
The Verve,"alternative rock, britpop, neo-psychedelia, shoegaze"
The White Stripes,"garage rock,blues rock,alternative rock,punk blues,indie rock"
The Who,"hard rock, power pop, proto-punk, rock"
The Yardbirds,"blues rock, psychedelic rock, r & b"
The_Rolling_Stones,"blues, pop, rock"
Theory of a Deadman,"alternative metal, alternative rock, hard rock, pop rock, post-grunge"
Thin Lizzy,"blues rock, folk rock, hard rock, heavy metal"
Third Eye Blind,"alternative rock, pop punk, pop rock, post-grunge, power pop"
Thirty Seconds to Mars,alternative rock
Thousand Foot Krutch,"alternative rock, christian metal, christian rock, hard rock, heavy metal, nu metal, rap metal"
Three Days Grace,"alternative metal, alternative rock, hard rock, nu metal, post-grunge"
Three Dog Night,"pop rock ,soft rock,roots rock,funk rock"
Tom Petty,"country rock, heartland rock, rock, roots rock, southern rock"
Tom Petty and the Heartbreakers,"heartland rock, rock, southern rock"
Tommy James and the Shondells,"rock,bubblegum"
Tool,"alternative metal,art rock,post-metal,progressive metal,progressive rock"
Toto,"arena rock, hard rock, jazz fusion, pop rock, progressive rock"
Tracy Chapman,"folk,blues rock,pop,soul"
Traffic,"progressive rock,psychedelic rock,jazz rock,folk rock,psychedelic pop"
Train,"alternative rock, pop rock, rock, roots rock"
Traveling Wilburys,rock
Travis,"alternative rock, pop rock, post-britpop"
Trivium,"heavy metal, metalcore, progressive metal, thrash metal"
Twenty One Pilots,"alternative hip-hop, alternative rock, electropop, indie pop, pop rap, pop rock"
Twisted Sister,"glam metal, hard rock, heavy metal, shock rock"
U2,"alternative rock, pop rock, post-punk, rock"
UB40,"reggae,dub"
Uriah Heep,"hard rock, heavy metal, progressive rock"
Vampire_Weekend,"art pop, baroque pop, indie pop, indie rock, worldbeat"
Van Halen,"arena rock, glam metal, hard rock, heavy metal, pop rock"
Van Morrison,"blue-eyed soul, blues, celtic, christian, country, folk, gospel, jazz, r & b, rock"
Van Zant,"arena rock, ccm, country, southern rock"
Velvet Revolver,"alternative metal, hard rock"
Volbeat,"groove metal, hard rock, heavy metal, psychobilly, rock and roll, rockabilly"
W.A.S.P.,"heavy metal,shock rock"
Warrant,"glam metal, hard rock, heavy metal"
Weezer,"alternative rock, emo, geek rock, pop rock, pop-punk, power pop"
White Zombie,"alternative metal, groove metal, industrial metal, noise rock"
Whitesnake,"blues rock, glam metal, hard rock"
X,"punk rock,alternative rock"
X Ambassadors,"alternative rock,indie rock,indie pop,pop rock,alternative pop"
Yes,"art rock, pop rock, progressive rock, symphonic rock"
ZZ Top,"blues rock,hard rock,boogie rock,southern rock"
